miRNA	Lung_M3_.	Lung_F2_.	Lung_F3_.	Lung_F1_.	Lung_M1_.	Lung_M2_.
mmu-miR-12193-3p	2	0	1	0	3	0
mmu-miR-7059-5p	10	1	0	2	5	11
mmu-miR-6948-3p	12	1	2	5	5	6
mmu-miR-6948-5p	0	0	0	1	1	1
mmu-miR-6945-3p	6	3	0	3	3	3
mmu-miR-7004-5p	1	2	0	1	0	0
mmu-miR-7004-3p	0	0	0	0	4	2
mmu-miR-6980-3p	5	3	0	1	4	9
mmu-miR-6980-5p	0	2	0	0	3	0
mmu-miR-487b-5p	0	1	0	0	0	1
mmu-miR-487b-3p	10	4	3	1	9	2
mmu-miR-7094-3p	4	0	0	0	1	1
mmu-miR-294-5p	1	0	0	0	0	0
mmu-miR-5119	2	0	0	0	1	0
mmu-miR-7033-5p	2	2	0	0	0	0
mmu-miR-7025-3p	5	8	3	4	5	9
mmu-miR-7084-5p	2	0	0	2	1	2
mmu-miR-7084-3p	1	0	2	1	1	2
mmu-miR-6395	3	0	2	0	0	0
mmu-miR-7237-3p	3	6	6	2	2	1
mmu-miR-3475-3p	2	1	0	1	0	3
mmu-miR-3089-5p	1	1	1	0	0	0
mmu-miR-3089-3p	5	6	0	2	3	3
mmu-miR-6964-3p	6	0	2	1	2	5
mmu-miR-6955-5p	3	2	0	4	2	0
mmu-miR-6955-3p	2	0	1	2	1	1
mmu-miR-7065-5p	1	1	0	1	0	0
mmu-miR-7065-3p	0	0	0	1	1	1
mmu-miR-5103	2	1	0	3	3	3
mmu-miR-129-1-3p	1	3	0	0	0	0
mmu-miR-7082-5p	0	0	0	0	1	0
mmu-miR-7082-3p	1	0	0	1	0	1
mmu-miR-6360	1	0	0	0	0	0
mmu-miR-201-5p	8	7	1	10	3	5
mmu-miR-5113	5	1	4	4	5	4
mmu-miR-485-3p	5	1	2	7	3	5
mmu-miR-485-5p	6	1	2	7	7	7
mmu-miR-8096	1	1	0	0	1	0
mmu-miR-5627-5p	1	0	0	0	0	0
mmu-miR-5627-3p	2	5	0	5	1	3
mmu-miR-8118	3	0	2	5	1	4
mmu-miR-466q	0	2	0	1	1	2
mmu-miR-7070-3p	6	0	0	1	1	1
mmu-miR-3073b-3p	1	2	0	0	1	0
mmu-miR-7035-5p	0	0	0	0	1	0
mmu-miR-7035-3p	4	1	0	0	3	1
mmu-miR-6986-5p	3	2	1	0	6	5
mmu-miR-7653-5p	0	0	1	0	0	1
mmu-miR-7653-3p	5	0	1	0	0	4
mmu-miR-7042-5p	1	0	1	0	1	3
mmu-miR-7042-3p	7	2	0	2	9	2
mmu-miR-216a-3p	0	0	0	0	1	1
mmu-miR-216a-5p	1	0	0	0	0	0
mmu-miR-6953-3p	3	0	1	3	4	3
mmu-miR-12189-3p	1	0	0	0	0	0
mmu-miR-6896-5p	3	1	1	0	1	0
mmu-miR-344b-3p	0	0	0	1	0	0
mmu-miR-344b-5p	1	0	0	0	0	0
mmu-miR-669e-5p	1	1	0	0	0	0
mmu-miR-669e-3p	1	0	0	0	0	0
mmu-miR-5134-3p	1	0	0	0	0	2
mmu-miR-706	3	2	0	0	0	1
mmu-miR-3065-5p	4	2	0	1	1	2
mmu-miR-3065-3p	0	0	0	1	1	0
mmu-miR-761	1	0	0	0	0	0
mmu-miR-6934-3p	1	1	1	0	1	0
mmu-miR-6934-5p	1	0	0	0	0	2
mmu-miR-3087-5p	0	0	0	0	1	2
mmu-miR-3087-3p	5	2	4	4	1	2
mmu-miR-6981-5p	1	0	1	0	1	0
mmu-miR-6981-3p	11	2	2	2	6	10
mmu-miR-6979-3p	6	1	1	2	1	0
mmu-miR-8094	12	1	2	17	14	11
mmu-miR-3969	1	0	0	0	0	0
mmu-miR-551b-5p	0	0	0	0	1	0
mmu-miR-551b-3p	2	4	1	1	4	3
mmu-miR-668-3p	11	6	3	5	9	18
mmu-miR-1950	1	1	0	1	0	0
mmu-miR-7023-3p	3	1	0	2	1	1
mmu-miR-6962-3p	0	0	0	0	1	0
mmu-miR-6962-5p	1	0	0	0	0	0
mmu-miR-6367	1	0	0	0	0	0
mmu-miR-669m-5p	1	0	0	0	0	0
mmu-miR-669m-3p	1	1	1	0	0	0
mmu-miR-3473f	5	2	2	2	0	2
mmu-miR-3108-5p	3	0	0	0	2	0
mmu-miR-3108-3p	1	0	0	0	0	0
mmu-miR-7649-3p	5	4	0	0	1	1
mmu-miR-6995-5p	1	0	0	0	1	0
mmu-miR-6995-3p	2	0	0	1	1	0
mmu-miR-6897-5p	3	0	0	0	1	0
mmu-miR-6897-3p	1	0	0	0	0	0
mmu-miR-292b-5p	2	0	0	0	2	1
mmu-miR-6916-5p	2	0	0	3	1	4
mmu-miR-6916-3p	0	0	1	0	0	0
mmu-miR-7017-5p	1	1	0	0	1	2
mmu-miR-7017-3p	4	0	0	0	0	0
mmu-miR-6905-5p	1	0	0	0	0	0
mmu-miR-6959-5p	2	1	1	0	3	0
mmu-miR-6959-3p	2	0	0	3	0	1
mmu-miR-802-5p	3	2	1	0	3	4
mmu-miR-802-3p	1	0	0	0	0	0
mmu-miR-6998-5p	0	0	1	0	1	1
mmu-miR-6998-3p	1	0	0	0	0	0
mmu-miR-1258-5p	1	1	0	2	0	1
mmu-miR-1258-3p	0	0	0	1	0	0
mmu-miR-7076-3p	2	0	0	0	0	0
mmu-miR-470-5p	3	4	2	2	0	0
mmu-miR-6978-3p	2	4	0	3	3	1
mmu-miR-6978-5p	1	0	0	0	0	0
mmu-miR-3967	1	0	0	1	1	0
mmu-miR-7047-3p	2	0	0	0	0	0
mmu-miR-5104	3	0	0	0	1	1
mmu-miR-6954-5p	0	0	0	0	0	1
mmu-miR-6954-3p	1	0	0	1	0	2
mmu-miR-873a-5p	1	1	0	0	1	0
mmu-miR-873a-3p	0	2	0	0	2	0
mmu-miR-370-5p	1	1	0	0	0	1
mmu-miR-370-3p	2	3	0	0	5	5
mmu-miR-7036b-5p	1	3	1	0	0	0
mmu-miR-7036b-3p	0	0	0	0	0	1
mmu-miR-3960	8	2	0	2	3	2
mmu-miR-3099-3p	3	0	0	1	0	2
mmu-miR-1930-5p	2	1	0	0	0	1
mmu-miR-1930-3p	1	1	0	0	0	0
mmu-miR-5120	10	6	1	2	3	1
mmu-miR-698-3p	1	0	0	0	0	0
mmu-miR-7009-3p	0	0	0	0	0	1
mmu-miR-7009-5p	1	0	0	1	0	0
mmu-miR-496a-3p	3	16	4	17	0	3
mmu-miR-466m-3p	0	0	0	0	1	0
mmu-miR-6909-3p	2	0	0	0	0	0
mmu-miR-6909-5p	0	1	0	0	1	1
mmu-miR-6244	1	0	0	0	0	0
mmu-miR-3473g	4	2	0	2	1	4
mmu-miR-9768-5p	1	0	0	0	0	0
mmu-miR-9768-3p	1	0	0	0	0	0
mmu-miR-6922-3p	2	2	0	1	5	2
mmu-miR-6922-5p	2	1	0	0	0	0
mmu-miR-7039-3p	2	0	0	1	1	1
mmu-miR-3154	1	0	0	1	2	1
mmu-miR-5108	1	0	0	0	1	2
mmu-miR-1938	2	0	0	0	0	0
mmu-miR-6939-3p	2	0	0	0	1	1
mmu-miR-7659-5p	3	0	0	0	0	0
mmu-miR-7081-5p	1	0	0	0	0	0
mmu-miR-7081-3p	0	1	0	0	0	0
mmu-miR-679-5p	2	4	1	0	2	4
mmu-miR-494-3p	2	3	0	2	2	3
mmu-miR-219c-5p	4	0	0	0	2	2
mmu-miR-219c-3p	3	6	2	3	6	5
mmu-miR-12178-3p	3	0	0	0	7	6
mmu-miR-770-5p	0	0	0	0	1	0
mmu-miR-770-3p	1	0	0	0	0	0
mmu-miR-7012-5p	2	0	1	0	0	0
mmu-miR-154-3p	3	0	0	1	1	2
mmu-miR-154-5p	5	13	1	0	9	6
mmu-miR-6976-3p	1	1	0	0	2	5
mmu-miR-6976-5p	1	0	0	1	0	0
mmu-miR-1970	3	0	0	0	0	0
mmu-miR-495-3p	5	11	5	2	0	4
mmu-miR-2137	1	0	0	2	2	2
mmu-miR-466k	1	1	0	0	1	0
mmu-miR-8095	1	0	0	0	0	0
mmu-miR-135a-5p	6	10	0	1	3	1
mmu-miR-135a-1-3p	2	2	1	0	0	0
mmu-miR-7013-5p	3	0	0	0	3	0
mmu-miR-217-5p	1	0	0	0	3	0
mmu-miR-217-3p	0	0	1	0	0	0
mmu-miR-1960	6	1	2	1	5	3
mmu-miR-7022-3p	2	1	0	0	1	0
mmu-miR-3071-3p	1	0	0	0	0	0
mmu-miR-6541	3	2	2	2	1	3
mmu-miR-871-5p	1	1	0	1	0	0
mmu-miR-871-3p	0	9	2	9	0	1
mmu-miR-6538	1	2	2	3	1	2
mmu-miR-935	1	0	0	3	0	0
mmu-miR-412-5p	1	1	0	0	1	0
mmu-miR-412-3p	0	0	1	0	0	0
mmu-miR-1b-3p	4	3	2	0	5	2
mmu-miR-8105	2	1	0	0	3	1
mmu-miR-7045-3p	0	1	0	0	0	0
mmu-miR-7045-5p	2	6	2	9	0	0
mmu-miR-1956	1	2	3	1	2	2
mmu-miR-1224-5p	1	0	0	0	0	0
mmu-miR-1224-3p	1	0	1	2	0	0
mmu-miR-3080-3p	1	0	0	0	1	0
mmu-miR-12201-5p	0	0	0	0	0	1
mmu-miR-12201-3p	1	1	0	1	5	4
mmu-miR-206-3p	2	1	1	1	0	0
mmu-miR-135a-2-3p	0	0	0	0	1	0
mmu-miR-6239	1	0	1	0	1	1
mmu-miR-1969	1	0	0	0	1	2
mmu-miR-7230-3p	1	0	0	0	0	0
mmu-miR-1190	1	0	0	0	0	0
mmu-miR-7092-5p	0	1	0	0	1	0
mmu-miR-7092-3p	2	2	0	0	2	1
mmu-miR-203b-3p	1	13	2	1	1	1
mmu-miR-694	3	1	0	1	1	1
mmu-miR-7006-3p	5	2	0	1	5	2
mmu-miR-8101	1	0	0	0	1	2
mmu-miR-6368	2	0	0	0	0	0
mmu-miR-5617-5p	1	0	0	0	0	0
mmu-miR-1932	1	0	1	2	0	1
mmu-miR-5624-5p	1	0	4	0	1	1
mmu-miR-5624-3p	2	0	0	0	0	0
mmu-miR-344f-3p	1	0	0	0	0	0
mmu-miR-5620-3p	2	0	0	0	1	0
mmu-miR-5620-5p	0	0	1	0	0	0
mmu-miR-7083-3p	2	2	0	2	1	0
mmu-miR-7083-5p	3	4	0	1	2	5
mmu-miR-295-3p	4	4	2	1	2	7
mmu-miR-7658-3p	3	1	0	0	3	2
mmu-miR-6913-3p	3	3	1	3	6	3
mmu-miR-5615-5p	1	0	1	2	0	0
mmu-miR-5615-3p	0	1	0	0	0	0
mmu-miR-5616-5p	1	0	0	0	0	0
mmu-miR-3961	1	1	0	0	0	0
mmu-miR-7067-3p	0	2	0	1	3	2
mmu-miR-7067-5p	1	0	0	0	0	0
mmu-miR-1936	1	0	0	0	0	1
mmu-miR-7681-5p	1	0	0	0	0	0
mmu-miR-12182-3p	1	0	1	0	2	0
mmu-miR-5116	3	0	0	3	1	2
mmu-miR-7117-3p	0	1	0	0	0	0
mmu-miR-7117-5p	2	0	0	0	0	1
mmu-miR-7036a-3p	1	3	0	1	0	1
mmu-miR-7036a-5p	0	0	0	0	0	1
mmu-miR-3966	1	0	0	0	0	0
mmu-miR-1953	1	2	0	1	2	4
mmu-miR-6715-5p	1	0	0	0	0	0
mmu-miR-344h-5p	1	0	0	0	0	0
mmu-miR-344e-5p	1	0	0	0	0	0
mmu-miR-344e-3p	0	0	0	0	1	0
mmu-miR-7032-3p	1	2	0	0	1	2
mmu-miR-7032-5p	0	0	0	0	1	0
mmu-miR-219a-2-3p	0	1	0	0	0	0
mmu-miR-3081-3p	1	1	5	0	8	4
mmu-miR-3962	1	0	0	1	0	0
mmu-miR-12181-5p	1	0	0	1	0	0
mmu-miR-665-3p	1	2	1	1	0	1
mmu-miR-3077-5p	0	0	0	0	1	0
mmu-miR-3077-3p	2	0	0	0	2	1
mmu-miR-7037-3p	1	0	0	0	0	0
mmu-miR-7037-5p	0	0	0	0	1	0
mmu-miR-3110-5p	1	0	0	3	0	1
mmu-miR-6927-3p	1	0	0	0	1	0
mmu-miR-8120	2	2	1	0	1	3
mmu-miR-12205-5p	1	0	1	2	0	3
mmu-miR-7062-3p	0	0	0	0	1	0
mmu-miR-7062-5p	1	0	0	0	0	0
mmu-miR-6932-3p	1	0	0	1	0	0
mmu-miR-6932-5p	2	0	1	1	4	3
mmu-miR-1946a	2	3	0	2	0	1
mmu-miR-7669-5p	1	1	0	2	3	0
mmu-miR-7669-3p	1	0	0	0	0	1
mmu-miR-6942-5p	1	0	0	0	0	3
mmu-miR-7674-5p	0	1	0	0	0	1
mmu-miR-7674-3p	1	0	1	2	1	1
mmu-miR-7086-5p	0	0	0	0	1	1
mmu-miR-7086-3p	1	1	0	0	0	0
mmu-miR-6400	1	0	0	0	0	0
mmu-miR-5621-3p	1	0	0	0	3	3
mmu-miR-6936-5p	2	0	1	0	0	0
mmu-miR-6936-3p	0	0	0	0	1	0
mmu-miR-6394	1	0	0	0	0	0
mmu-miR-3474	1	1	0	0	2	4
mmu-miR-384-5p	2	1	0	1	4	0
mmu-miR-384-3p	1	3	0	0	0	1
mmu-miR-6929-3p	1	0	0	0	0	1
mmu-miR-669l-5p	4	3	0	0	5	11
mmu-miR-325-3p	1	0	0	1	0	1
mmu-miR-202-5p	1	0	0	0	0	0
mmu-miR-467f	1	1	0	0	0	0
mmu-miR-3552	3	2	1	2	3	2
mmu-miR-6380	3	1	1	0	1	1
mmu-miR-344i	1	0	0	0	1	0
mmu-miR-6984-3p	2	2	1	0	2	2
mmu-miR-7211-5p	2	0	0	0	0	0
mmu-miR-7211-3p	0	0	0	0	1	0
mmu-miR-5623-5p	1	0	0	0	0	0
mmu-miR-7007-3p	1	1	0	0	0	1
mmu-miR-7007-5p	0	0	0	0	0	1
mmu-miR-7038-3p	0	0	0	0	3	1
mmu-miR-7038-5p	1	1	0	0	0	0
mmu-miR-1271-5p	0	0	0	0	0	1
mmu-miR-1271-3p	1	1	0	0	0	1
mmu-miR-1931	0	0	0	0	0	2
mmu-miR-12188-5p	1	3	0	2	2	0
mmu-miR-8107	1	0	1	0	0	0
mmu-miR-6915-5p	1	0	0	0	0	0
mmu-miR-6915-3p	1	0	0	0	1	3
mmu-miR-21c	1	1	1	1	1	1
mmu-miR-7040-5p	1	0	0	0	1	1
mmu-miR-7080-3p	1	0	0	0	0	0
mmu-miR-6961-5p	0	0	0	0	2	5
mmu-miR-6961-3p	1	0	0	0	0	1
mmu-miR-7115-5p	0	1	0	0	0	0
mmu-miR-7115-3p	1	0	0	0	0	0
mmu-miR-7650-5p	1	0	0	0	0	0
mmu-miR-7029-3p	1	0	0	0	0	0
mmu-miR-7029-5p	0	0	0	0	0	1
mmu-miR-7011-5p	0	2	0	0	0	0
mmu-miR-7011-3p	1	1	0	0	0	1
mmu-miR-3078-5p	1	1	0	0	1	0
mmu-miR-702-3p	1	0	0	0	0	1
mmu-miR-291a-3p	1	0	0	1	0	0
mmu-miR-7647-5p	1	0	1	1	0	0
mmu-miR-7647-3p	0	0	0	0	0	1
mmu-miR-7048-5p	1	0	1	0	0	0
mmu-miR-7048-3p	0	1	0	1	4	2
mmu-miR-693-3p	1	0	3	3	2	2
mmu-miR-1961	1	0	0	0	1	2
mmu-miR-196a-5p	1	0	2	0	0	1
mmu-miR-196a-2-3p	0	1	0	0	0	0
mmu-miR-6912-3p	0	0	1	0	0	0
mmu-miR-6912-5p	1	1	0	1	0	0
mmu-miR-6537-3p	1	0	0	0	1	0
mmu-miR-7087-3p	1	0	0	0	0	1
mmu-miR-6344	1	0	0	0	0	0
mmu-miR-7684-5p	1	0	0	0	0	0
mmu-miR-3085-3p	0	1	0	0	0	0
mmu-miR-7661-3p	0	1	0	1	1	2
mmu-miR-8098	0	1	0	2	0	0
mmu-miR-741-3p	0	1	0	0	1	0
mmu-miR-6908-3p	0	1	0	0	1	1
mmu-miR-7651-5p	0	1	0	0	2	2
mmu-miR-3062-5p	0	2	0	1	0	0
mmu-miR-6363	0	0	0	0	1	1
mmu-miR-6399	0	2	0	0	0	0
mmu-miR-684	0	1	0	0	0	0
mmu-miR-7679-5p	0	1	0	0	0	0
mmu-miR-7679-3p	0	0	0	1	0	0
mmu-miR-196a-1-3p	0	1	0	0	0	0
mmu-miR-7026-5p	0	0	1	0	0	1
mmu-miR-7026-3p	0	1	0	0	0	2
mmu-miR-3059-5p	0	1	2	0	1	0
mmu-miR-6983-3p	0	1	1	0	0	3
mmu-miR-6983-5p	0	1	0	1	1	1
mmu-miR-6969-5p	0	1	0	0	0	0
mmu-miR-7089-3p	0	1	1	1	1	0
mmu-miR-7089-5p	0	0	0	0	2	1
mmu-miR-7093-3p	0	3	1	1	1	2
mmu-miR-758-3p	0	1	0	3	1	0
mmu-miR-6236	0	5	6	3	0	0
mmu-miR-7018-3p	0	4	2	0	2	2
mmu-miR-6930-5p	0	1	0	0	0	1
mmu-miR-6974-3p	0	1	0	0	0	0
mmu-miR-291b-3p	0	1	0	0	0	0
mmu-miR-12198-3p	0	1	0	0	0	0
mmu-miR-463-5p	0	1	0	0	0	0
mmu-miR-7239-5p	0	1	0	0	0	0
mmu-miR-292a-5p	0	2	1	0	0	0
mmu-miR-292a-3p	0	0	0	0	0	2
mmu-miR-539-3p	0	1	0	0	0	0
mmu-miR-6977-3p	0	1	0	0	0	1
mmu-miR-449b	0	3	0	0	1	1
mmu-miR-12197-3p	0	1	0	0	0	0
mmu-miR-743a-5p	0	1	0	0	0	0
mmu-miR-7077-3p	0	1	0	0	1	0
mmu-miR-1958	0	1	0	0	1	0
mmu-miR-6335	0	1	0	0	0	1
mmu-miR-3101-5p	0	1	0	2	1	0
mmu-miR-12203-3p	0	1	0	0	0	0
mmu-miR-6357	0	1	0	0	0	0
mmu-miR-7654-5p	0	1	0	0	0	0
mmu-miR-1970c-5p	0	0	0	1	0	0
mmu-miR-1970c-3p	0	2	1	0	0	2
mmu-miR-6972-3p	0	1	0	0	1	0
mmu-miR-344c-3p	0	1	0	0	0	0
mmu-miR-6937-5p	0	1	2	2	0	1
mmu-miR-6937-3p	0	2	0	0	0	0
mmu-miR-7683-5p	0	2	0	0	0	0
mmu-miR-465a-3p	0	1	0	1	0	0
mmu-miR-465b-5p	0	0	0	2	0	0
mmu-miR-697	0	1	0	1	0	0
mmu-miR-7057-3p	0	2	0	1	2	0
mmu-miR-7050-3p	0	1	0	0	0	0
mmu-miR-7050-5p	0	0	0	0	0	1
mmu-miR-7055-3p	0	1	0	0	0	0
mmu-miR-6397	0	1	0	0	0	0
mmu-miR-124-3p	0	1	0	0	1	0
mmu-miR-6990-5p	0	2	0	0	1	2
mmu-miR-6990-3p	0	1	0	1	1	2
mmu-miR-7034-3p	0	1	0	0	0	0
mmu-miR-465c-5p	0	1	0	0	0	0
mmu-miR-219b-3p	0	1	0	1	1	0
mmu-miR-7682-3p	0	1	0	0	0	0
mmu-miR-8108	0	1	1	0	0	0
mmu-miR-7231-5p	0	1	1	0	0	0
mmu-miR-544-5p	0	0	0	1	0	0
mmu-miR-544-3p	0	1	0	0	0	1
mmu-miR-7090-3p	0	1	0	1	3	3
mmu-miR-8113	0	1	0	0	0	1
mmu-miR-6943-5p	0	0	1	0	1	0
mmu-miR-6943-3p	0	0	1	1	1	2
mmu-miR-12180-3p	0	0	2	0	0	0
mmu-miR-7670-3p	0	0	1	0	4	1
mmu-miR-467g	0	0	1	0	0	0
mmu-miR-881-5p	0	0	0	1	0	0
mmu-miR-881-3p	0	0	3	1	0	0
mmu-miR-876-5p	0	0	1	0	0	0
mmu-miR-7027-5p	0	0	0	0	1	0
mmu-miR-7027-3p	0	0	1	2	0	0
mmu-miR-8092	0	0	1	1	0	0
mmu-miR-6967-3p	0	0	0	1	0	2
mmu-miR-6967-5p	0	0	1	0	0	0
mmu-miR-6928-3p	0	0	1	2	1	1
mmu-miR-6898-3p	0	0	1	0	0	0
mmu-miR-5125	0	0	1	0	1	0
mmu-miR-1893	0	0	1	1	1	0
mmu-miR-7232-5p	0	0	1	0	0	0
mmu-miR-7232-3p	0	0	0	0	0	1
mmu-miR-7227-3p	0	0	1	0	0	0
mmu-miR-6385	0	0	1	0	0	0
mmu-miR-767	0	0	1	0	0	1
mmu-miR-6481	0	0	0	156	0	0
mmu-miR-7225-5p	0	0	0	1	0	0
mmu-miR-7041-3p	0	0	0	0	1	0
mmu-miR-7041-5p	0	0	0	1	0	1
mmu-miR-7657-3p	0	0	0	1	0	0
mmu-miR-323-3p	0	0	0	1	0	1
mmu-miR-7085-3p	0	0	0	1	2	1
mmu-miR-7085-5p	0	0	0	0	0	1
mmu-miR-670-5p	0	0	0	0	0	1
mmu-miR-670-3p	0	0	0	1	0	0
mmu-miR-7677-3p	0	0	0	2	1	2
mmu-miR-6956-3p	0	0	0	4	1	2
mmu-miR-6956-5p	0	0	0	1	0	1
mmu-miR-126b-3p	0	0	0	1	0	0
mmu-miR-7666-5p	0	0	0	2	0	0
mmu-miR-7664-5p	0	0	0	1	1	1
mmu-miR-7664-3p	0	0	0	1	0	0
mmu-miR-6938-3p	0	0	0	0	1	0
mmu-miR-6938-5p	0	0	0	1	0	0
mmu-miR-1192	0	0	0	1	0	0
mmu-miR-5136	0	0	0	1	0	0
mmu-miR-493-5p	0	0	0	1	3	0
mmu-miR-493-3p	0	0	0	1	1	0
mmu-miR-7673-5p	0	0	0	0	1	0
mmu-miR-7673-3p	0	0	0	1	0	0
mmu-miR-3620-5p	0	0	0	1	0	0
mmu-miR-3620-3p	0	0	0	0	0	1
mmu-miR-6375	0	0	0	1	0	0
mmu-miR-5106	0	0	0	1	0	0
mmu-miR-1894-5p	0	0	0	1	0	0
mmu-miR-6999-3p	0	0	0	1	0	0
mmu-miR-7005-3p	0	0	0	1	1	1
mmu-miR-12187-3p	0	0	0	1	0	0
mmu-miR-497b	0	0	0	1	0	0
mmu-miR-7678-3p	0	0	0	2	0	0
mmu-miR-466l-3p	0	0	0	1	0	0
mmu-miR-6947-3p	0	0	0	1	0	0
mmu-miR-3100-3p	0	0	0	1	1	1
mmu-miR-873b	0	0	0	1	0	0
mmu-miR-743b-5p	0	0	0	1	0	0
mmu-miR-7024-3p	0	0	0	1	0	0
mmu-miR-7024-5p	0	0	0	0	1	1
mmu-miR-692	0	0	0	2	1	0
mmu-miR-7665-3p	0	0	0	1	0	0
mmu-miR-6918-5p	0	0	0	1	0	1
mmu-miR-374c-3p	0	0	0	0	0	1
mmu-miR-12185-3p	0	0	0	1	0	0
mmu-miR-6951-5p	0	0	0	2	1	2
mmu-miR-207	0	0	0	1	1	1
mmu-miR-7118-3p	0	0	0	0	1	1
mmu-miR-7233-5p	0	0	0	0	1	0
mmu-miR-6973a-3p	0	0	0	0	4	2
mmu-miR-1929-5p	0	0	0	0	1	0
mmu-miR-3112-5p	0	0	0	0	3	0
mmu-miR-12200-5p	0	0	0	0	1	0
mmu-miR-12204-5p	0	0	0	0	1	0
mmu-miR-12184-5p	0	0	0	0	2	0
mmu-miR-12184-3p	0	0	0	0	1	0
mmu-miR-7053-5p	0	0	0	0	1	0
mmu-miR-7053-3p	0	0	0	0	1	0
mmu-miR-7000-3p	0	0	0	0	1	0
mmu-miR-7680-5p	0	0	0	0	1	0
mmu-miR-7240-5p	0	0	0	0	1	0
mmu-miR-6413	0	0	0	0	1	0
mmu-miR-7685-5p	0	0	0	0	1	0
mmu-miR-8106	0	0	0	0	1	2
mmu-miR-5131	0	0	0	0	1	0
mmu-miR-216c-5p	0	0	0	0	1	0
mmu-miR-3067-3p	0	0	0	0	1	0
mmu-miR-5130	0	0	0	0	1	0
mmu-miR-7234-5p	0	0	0	0	1	0
mmu-miR-6931-3p	0	0	0	0	1	1
mmu-miR-880-3p	0	0	0	0	1	0
mmu-miR-6904-3p	0	0	0	0	1	0
mmu-miR-6904-5p	0	0	0	0	1	0
mmu-miR-5046	0	0	0	0	2	1
mmu-miR-703	0	0	0	0	1	0
mmu-miR-742-5p	0	0	0	0	1	0
mmu-miR-711	0	0	0	0	1	0
mmu-miR-7003-3p	0	0	0	0	1	0
mmu-miR-1971	0	0	0	0	1	0
mmu-miR-467h	0	0	0	0	1	0
mmu-miR-804	0	0	0	0	1	0
mmu-miR-719	0	0	0	0	1	0
mmu-miR-7014-3p	0	0	0	0	1	0
mmu-miR-5626-3p	0	0	0	0	1	0
mmu-miR-6950-3p	0	0	0	0	1	2
mmu-miR-6416-5p	0	0	0	0	1	0
mmu-miR-7656-5p	0	0	0	0	1	0
mmu-miR-7001-5p	0	0	0	0	0	2
mmu-miR-6917-3p	0	0	0	0	0	1
mmu-miR-6346	0	0	0	0	0	1
mmu-miR-883b-5p	0	0	0	0	0	1
mmu-miR-5622-5p	0	0	0	0	0	2
mmu-miR-3072-3p	0	0	0	0	0	2
mmu-miR-1928	0	0	0	0	0	1
mmu-miR-7214-5p	0	0	0	0	0	1
mmu-miR-8117	0	0	0	0	0	2
mmu-miR-7078-5p	0	0	0	0	0	1
mmu-miR-6966-3p	0	0	0	0	0	2
mmu-miR-7030-3p	0	0	0	0	0	1
mmu-miR-1963	0	0	0	0	0	1
mmu-miR-7216-3p	0	0	0	0	0	1
mmu-miR-7071-5p	0	0	0	0	0	1
mmu-miR-6358	0	0	0	0	0	1
mmu-miR-669k-5p	0	0	0	0	0	2
mmu-miR-6900-5p	0	0	0	0	0	1
mmu-miR-599	0	0	0	0	0	1
mmu-miR-669h-5p	0	0	0	0	0	2
mmu-miR-3073a-3p	0	0	0	0	0	1
mmu-miR-691	0	0	0	0	0	1
mmu-miR-8090	0	0	0	0	0	2
mmu-miR-7648-3p	0	0	0	0	0	1
mmu-miR-7051-5p	0	0	0	0	0	1
mmu-miR-5112	0	0	0	0	0	1
mmu-miR-6546-5p	0	0	0	0	0	1
mmu-miR-3104-3p	0	0	0	0	0	1
